region_precision,region_recall,region_f1,region_iou,pixel_accuracy,region_accuracy,gt_regions,pred_regions,matched_gt_regions,matched_pred_regions,gt_pixels,pred_pixels,matched_gt_pixels,matched_pred_pixels,gt_coverage,pred_coverage,filename
0.6923076923076923,0.8846153846153846,0.7767354596130325,0.032698902598452866,0.7802390625,0.7307692307692307,26,104,23,72,153762,17644,149860,16601,0.9746231188460087,0.9408864203128542,IMG_4993_JPG.rf.ab77786e38be8551a65833a5fdcf80a7.jpg
0.4666666666666667,1.0,0.6363636363202478,0.06092574410888448,0.96283125,0.6,5,15,5,7,25270,2552,25270,2017,1.0,0.7903605015673981,DSC04131_JPG.rf.ddc4771910fbabfde959748c937d7824.jpg
0.49624060150375937,0.4666666666666667,0.48099947938784,0.005884827161405193,0.8322390625,0.49324324324324326,15,133,7,66,108842,9759,100669,5819,0.9249095018467136,0.5962701096423814,DSC04041_JPG.rf.f7a77445ea1de90b92488396179c3279.jpg
0.14285714285714285,1.0,0.249999999978125,0.2645252640957108,0.9935421875,0.25,2,14,2,2,2052,3235,2052,595,1.0,0.1839258114374034,IMG_2508_JPG.rf.e0425583ab898225d34f5ba3d41be214.jpg
0.5714285714285714,0.75,0.6486486485995617,0.06090815662058116,0.9432140625,0.6111111111111112,4,14,3,8,42216,7201,37995,6671,0.9000142126208073,0.9263991112345508,IMG_2148_JPG.rf.e07aa955c63a42222a151acada849995.jpg
0.4444444444444444,0.5405405405405406,0.48780487799925637,0.2049267024721807,0.9811109375,0.4878048780487805,37,45,20,20,12502,3449,7218,2023,0.5773476243800992,0.586546825166715,DSC04192_JPG.rf.62edfe2a4361a60b2a2dd39490444861.jpg
0.7777777777777778,0.8,0.788732394316207,0.003964359452582984,0.8880359375,0.7796610169491526,5,54,4,42,75234,4223,74814,3913,0.9944174176569104,0.9265924698081932,DSC04219_JPG.rf.7ce79630fadc829153c6fb39bd9f3790.jpg
0.5151515151515151,0.75,0.6107784430654953,0.06792573465447267,0.93390625,0.5777777777777777,24,66,18,34,44733,5056,39505,3900,0.8831287863545928,0.7713607594936709,DSC04230_JPG.rf.859130df9e75e660fc0c9d5f4e49a237.jpg
0.7,0.7777777777777778,0.7368421052132963,0.039198882080304566,0.9634703125,0.717948717948718,9,30,7,21,22379,4604,15464,1963,0.6910049600071495,0.42636837532580363,IMG_2471_JPG.rf.4770adafda877963a7d2382ce2496749.jpg
0.39790575916230364,0.9479166666666666,0.560521943468502,0.1513901853050797,0.7640765625,0.5818815331010453,96,191,91,76,165936,94226,132828,83028,0.8004772924501012,0.8811580667756246,DSC04345_JPG.rf.94166d94a1356594a27281104ab8ead7.jpg
0.47619047619047616,0.6,0.5309734512780954,0.04022536535582266,0.889315625,0.5161290322580645,10,21,6,10,71411,1173,70369,980,0.9854084104689753,0.835464620630861,DSC04318_JPG.rf.48437ba6963e0c2c5592f479c4906ef1.jpg
0.7142857142857143,0.75,0.7317073170232004,0.011037248294132176,0.84475625,0.7183098591549296,8,63,6,45,106064,9376,89672,7681,0.8454518026851712,0.8192192832764505,DSC04040_JPG.rf.3f89a2b05b11fda2b8d3a93719398639.jpg
0.7962962962962963,1.0,0.8865979380949729,0.08081581804868997,0.90338125,0.8493150684931506,19,54,19,43,75300,16663,75300,15745,1.0,0.9449078797335414,IMG_2443_JPG.rf.10297ba9b4c476e4cda656c928a8d980.jpg
1.0,0.8333333333333334,0.9090909090413223,0.10540987224497966,0.9859734375,0.9090909090909091,6,5,5,5,10226,2171,7054,2171,0.6898102875024448,1.0,IMG_2541_JPG.rf.f935efe139eb2624c35d47778d4b31ef.jpg
0.28125,1.0,0.4390243902096371,0.26509633863347687,0.9848546875,0.425,16,64,16,18,10235,7280,10235,4425,1.0,0.6078296703296703,IMG_4833_JPG.rf.24b6a624797ecb4f794e722416133953.jpg
0.3076923076923077,0.15384615384615385,0.2051282050837607,0.03807584239642942,0.9448828125,0.23076923076923078,13,13,2,4,32922,3323,6226,1574,0.18911366259644008,0.47366837195305445,IMG_2136_JPG.rf.13bc9784cb25edb014c0376130e1dbb0.jpg
0.21428571428571427,1.0,0.3529411764415225,0.08600289964339813,0.98408125,0.2903225806451613,3,28,3,6,14002,6708,14002,5683,1.0,0.8471973762671438,IMG_2314_JPG.rf.5d9cb24407f773f55e7ad88f9252ce00.jpg
0.12716763005780346,1.0,0.2256410256210072,0.08908127565198355,0.939209375,0.16111111111111112,7,173,7,22,36207,16727,36207,9577,1.0,0.5725473784898667,IMG_2055_JPG.rf.60ddfecd346ba83201fc0604f47db0d1.jpg
0.5,0.14285714285714285,0.22222222218765433,0.005511775138322587,0.6541109375,0.2727272727272727,7,4,1,2,240287,1842,71142,1414,0.29607094849076315,0.7676438653637351,IMG_4934_JPG.rf.dcf183e085a292ba23f567d6441a0729.jpg
0.1111111111111111,0.5,0.18181818178842973,0.2715273412947832,0.9905203125,0.18181818181818182,2,9,1,1,2166,4765,1591,432,0.734533702677747,0.0906610703043022,DSC04184_JPG.rf.e517af78439ae77b210a707543505397.jpg
1.0,1.0,0.99999999995,0.0011883338658270656,0.75821875,1.0,1,3,1,3,155034,812,155034,812,1.0,1.0,DSC04309_JPG.rf.c9d896b0cdc17486d669e4fd5bce31e2.jpg
0.4166666666666667,0.6666666666666666,0.5128205127731756,0.22859621235704192,0.98541875,0.5,18,36,12,15,11679,4193,10314,3455,0.8831235550988955,0.8239923682327689,DSC04158_JPG.rf.06bbd2945313c845c1129379a13d7023.jpg
0.7419354838709677,1.0,0.8518518518029492,0.010248688073670131,0.700865625,0.7647058823529411,3,31,3,23,205968,18868,205968,17704,1.0,0.938308246767013,IMG_4931_JPG.rf.2388f225a3cefdf458dfed333a34945f.jpg
0.6571428571428571,1.0,0.7931034482280024,0.0033126489140103354,0.90195625,0.6923076923076923,4,35,4,23,63347,2497,63347,1810,1.0,0.7248698438125751,IMG_4596_JPG.rf.aebb165d2276a24db44b1216007d395e.jpg
0.14285714285714285,0.75,0.23999999997312,0.027512342566817744,0.96394375,0.18867924528301888,4,49,3,7,17079,8235,14237,1246,0.8335968148018034,0.15130540376442017,DSC04024_JPG.rf.9ac025dcd003e00237ef4f0004ad37db.jpg
0.4444444444444444,0.7272727272727273,0.5517241378839476,0.023050717293718426,0.905071875,0.4819277108433735,11,72,8,32,62578,10948,56986,6203,0.9106395218766978,0.5665875045670442,DSC04321_JPG.rf.334b8c0bdd79035c2810f17c1415d3b9.jpg
0.49572649572649574,0.6363636363636364,0.5573095401017668,0.018453533780478402,0.78106875,0.5179856115107914,22,117,14,58,144601,19519,109120,13804,0.7546282529166465,0.7072083610840719,DSC04362_JPG.rf.f911d1c2b6e3c1863141e6d593869b06.jpg
0.7428571428571429,0.8,0.770370370320439,0.013202686343139,0.7323265625,0.7555555555555555,10,35,8,26,215422,10510,214036,9385,0.993566116738309,0.8929590865842055,DSC04076_JPG.rf.5608e56fc94f040a6d88d9b3084a23b9.jpg
0.8888888888888888,0.8,0.8421052631080332,0.051539151665093014,0.9774953125,0.8571428571428571,5,9,4,8,15260,1623,12125,1400,0.7945609436435125,0.862600123228589,IMG_2146_JPG.rf.da96063a1cefb965ed34cf0ded719fd5.jpg
0.8571428571428571,0.4,0.545454545411157,0.018413603213129556,0.94638125,0.6666666666666666,5,7,2,6,35750,2046,30932,1993,0.8652307692307692,0.9740957966764419,DSC04338_JPG.rf.39faaaf5f840dc026d3474fb54efba58.jpg
0.926829268292683,0.6363636363636364,0.7546099290297406,0.018153540198981265,0.688946875,0.8653846153846154,11,41,7,38,218768,16939,134235,16702,0.6135952241644116,0.9860086191628785,IMG_4756_JPG.rf.1da3926f0d0618eea8b29e296e1966bb.jpg
0.8365384615384616,0.9523809523809523,0.8907089838253056,0.059191845696707844,0.7752015625,0.8698630136986302,42,104,40,87,172247,28457,168407,27144,0.977706433203481,0.9538602101416171,IMG_2394_JPG.rf.b8850145578c950114d8bef195a4ba74.jpg
0.6483516483516484,0.875,0.744815148733794,0.03792838751059901,0.867159375,0.6956521739130435,24,91,21,59,89285,14494,83511,11945,0.9353306826454612,0.824134124465296,DSC04327_JPG.rf.02a40032e6c1b9a575c03a4a55403dbb.jpg
0.35714285714285715,0.5,0.4166666666180555,0.06460059861383394,0.95718125,0.4,6,14,3,5,27733,5513,12441,2397,0.44859914181660837,0.43479049519317975,IMG_1703_jpg.rf.55e9ba0f66c82b03ee2971318dc7b3b9.jpg
0.43478260869565216,0.9,0.5863192181971162,0.057274482735224556,0.880275,0.5178571428571429,10,46,9,20,128359,54084,118479,49487,0.9230283813367197,0.9150025885659345,IMG_1762_jpg.rf.9cd3a29cdcd76af2f35c6297a4a61811.jpg
0.3333333333333333,0.75,0.46153846149585803,0.1113472594584431,0.9765,0.42105263157894735,4,15,3,5,13885,4237,9667,1947,0.696218941303565,0.4595232475808355,IMG_2145_JPG.rf.067fa8698f2f9931926ad50622aa9b48.jpg
0.5,0.6666666666666666,0.5714285713795919,0.06821322326827715,0.9093984375,0.5473684210526316,27,68,18,34,64788,6841,49354,5750,0.7617768722602951,0.8405203917555912,DSC04211_JPG.rf.967767fe5c8a5713109a655a56b99009.jpg
0.21212121212121213,0.5,0.297872340383703,0.00973027977255987,0.949290625,0.22857142857142856,2,33,1,7,31436,4848,23219,2132,0.7386117826695509,0.4397689768976898,IMG_4709_JPG.rf.637e956c778a630c108a37c2234c31bc.jpg
0.5147058823529411,0.5263157894736842,0.5204460966042813,0.02793218090833306,0.72754375,0.5172413793103449,19,68,10,35,192480,11593,140554,9201,0.7302265170407315,0.7936685931165358,IMG_5025_JPG.rf.d01c200c03edec8630d726e35f71c691.jpg
0.27586206896551724,0.6666666666666666,0.39024390239762047,0.039796525586836676,0.8650609375,0.34285714285714286,6,29,4,8,86462,4839,41895,2597,0.4845481251879438,0.5366811324653854,IMG_2114_JPG.rf.06dfd5d9b730c2ed8628d2c6769c34fe.jpg
0.5769230769230769,0.5,0.5357142856645408,0.029555816918874205,0.8050953125,0.5526315789473685,12,26,6,15,124786,8267,62002,5634,0.49686663568028466,0.6815047780331438,IMG_2165_JPG.rf.dc63319cd94573929d66fcddc33bcab9.jpg
0.2857142857142857,1.0,0.44444444440987657,0.32831624348051014,0.994228125,0.4444444444444444,2,7,2,2,3692,2452,3692,1368,1.0,0.5579119086460033,IMG_4860_JPG.rf.a48861eed0a72a00146c1404e0f0cc89.jpg
0.3157894736842105,0.6153846153846154,0.41739130430300186,0.08541035193434449,0.9247671875,0.37142857142857144,13,57,8,18,41142,19168,29769,7832,0.7235671576491177,0.40859766277128545,IMG_2390_JPG.rf.e71e5a496373869e0bd827ab5b3724ba.jpg
0.36363636363636365,0.5,0.4210526315301939,0.032011234683932056,0.9756703125,0.38461538461538464,4,22,2,8,15816,2778,12816,1480,0.8103186646433991,0.5327573794096472,IMG_4606_JPG.rf.a7fa290bed48312e54d03e0a35468d8a.jpg
0.23404255319148937,1.0,0.379310344796849,0.014961386479591473,0.841459375,0.29411764705882354,4,47,4,11,102541,7588,102541,3915,1.0,0.5159462308908803,IMG_2119_JPG.rf.73eb86d68e8911735b40e25cde406ad2.jpg
0.7341772151898734,0.8484848484848485,0.7872031022284964,0.05173508315194421,0.822171875,0.7678571428571429,33,79,28,58,128998,13399,119697,12045,0.9278981069473945,0.8989476826628853,DSC04323_JPG.rf.8bb1530d2ce6a64d63af4b8e5d0d3183.jpg
0.5714285714285714,0.5555555555555556,0.5633802816401507,0.020529058274742447,0.8412546875,0.5686274509803921,9,42,5,24,104967,12986,81505,9975,0.7764821324797317,0.7681349145233328,IMG_4713_JPG.rf.1324ce97f548311181a530b47d0d7f54.jpg
0.34,0.4444444444444444,0.38526912176391753,0.08748134352771182,0.8069875,0.3894736842105263,45,50,20,17,42264,95617,18718,85978,0.442882831724399,0.8991915663532636,DSC04441_JPG.rf.11b244119718fde55b1c4ab7bdf40d81.jpg
0.6614583333333334,0.675,0.6681605611347285,0.021960988599701525,0.7635328125,0.6637931034482759,40,192,27,127,164038,25088,134924,22784,0.8225167339275046,0.9081632653061225,DSC04397_JPG.rf.804d11da546b356933056422d013c7c0.jpg
0.5213675213675214,0.7906976744186046,0.6283896378857532,0.030418088809100637,0.8050421875,0.5631768953068592,43,234,34,122,122981,36957,112154,28752,0.9119620103918491,0.7779852260735449,DSC04399_JPG.rf.0d0e5c42999f9cc09d1192124955ebee.jpg
0.6823529411764706,1.0,0.8111888111405937,0.011516732806846215,0.866703125,0.7403846153846154,19,85,19,58,85760,4298,85760,3031,1.0,0.7052117263843648,DSC04368_JPG.rf.5952ddb83c9fdf19b96759fb9429ac6e.jpg
0.6608695652173913,0.6944444444444444,0.6772411334378224,0.04161685467777364,0.7903421875,0.6688741721854304,36,115,25,76,156817,19484,150663,17240,0.9607568057034632,0.8848285772941901,IMG_4991_JPG.rf.3a791a582bae0bbc903b0902f393b2a2.jpg
0.7105263157894737,0.5,0.5869565216906427,0.016033199320106398,0.8421640625,0.6666666666666666,10,38,5,27,106854,11553,90806,10589,0.8498137645759635,0.9165584696615597,IMG_4714_JPG.rf.2464917297d978cc1e737374ffd9e57f.jpg
0.6428571428571429,0.5714285714285714,0.6050420167568956,0.011295846303857503,0.5938515625,0.6285714285714286,7,28,4,18,262839,7706,224092,2494,0.8525827597883114,0.3236439138333766,DSC04310_JPG.rf.8fd4c5666cc18204739f32f00eba4b3b.jpg
1.0,1.0,0.99999999995,0.0006490045731183166,0.6366984375,1.0,1,1,1,1,232664,151,232664,151,1.0,1.0,IMG_4974_JPG.rf.39c816c26265036bb12c434de9902d25.jpg
0.43243243243243246,0.4166666666666667,0.4244031829738899,0.00840907422897639,0.8404,0.42857142857142855,12,37,5,16,104701,1947,69966,691,0.6682457665160791,0.3549049820236261,DSC04011_JPG.rf.a719c404743d0503847d4a1466d4e91e.jpg
0.631578947368421,1.0,0.7741935483396462,0.009479271341808246,0.8970140625,0.6666666666666666,2,19,2,12,65521,6430,65521,4805,1.0,0.7472783825816485,DSC04298_JPG.rf.526e7a016c17dbd4a45a7c85acb1e258.jpg
0.6428571428571429,1.0,0.7826086956045369,0.009364648058974665,0.8638640625,0.6875,2,14,2,9,88834,9053,88834,6366,1.0,0.7031923119407931,DSC04299_JPG.rf.c90f88ce61e0a227eb07cbd298e21106.jpg
0.66875,0.9090909090909091,0.7706157723674367,0.03433333055846657,0.6494265625,0.6978021978021978,22,160,20,107,231341,32428,186945,28431,0.8080928153677904,0.8767423214505983,IMG_5056_JPG.rf.7c2bfeb8c2e32a72eaab086a371064e0.jpg
0.5294117647058824,0.5,0.5142857142357552,0.033349543443577725,0.9728015625,0.52,8,17,4,9,18079,1354,11487,1097,0.6353780629459594,0.810192023633678,DSC04003_JPG.rf.af2eb3c1c67284afd53f8016a4c06025.jpg
0.36904761904761907,0.8888888888888888,0.5215562565305681,0.03171132557026482,0.9211375,0.41935483870967744,9,84,8,31,51399,15084,50295,8676,0.9785209828985,0.5751789976133651,DSC04038_JPG.rf.eb8530722b8f8de57a817d21940d0fae.jpg
0.5555555555555556,1.0,0.7142857142397959,0.01455296779188803,0.9676640625,0.6363636363636364,2,9,2,5,20902,1293,20902,844,1.0,0.6527455529775715,IMG_4704_JPG.rf.a77b12dcc883fa952f09cb3ad40f5d15.jpg
0.345679012345679,0.75,0.47323943657652684,0.015288367664971018,0.7294765625,0.38202247191011235,8,81,6,28,188775,13862,146505,8858,0.7760826380611839,0.6390131294185544,IMG_5020_JPG.rf.7d5566c9d2b4eeecc6ae41bf2a09af48.jpg
0.5045871559633027,0.5789473684210527,0.5392156862247454,0.0700990870754548,0.8940828125,0.5238095238095238,38,109,22,55,73321,14056,46619,11406,0.6358205698231066,0.8114684120660216,IMG_5012_JPG.rf.d0de89b9ea9ecff89caf79d73a1d647d.jpg
0.6436781609195402,0.6875,0.6648677819252296,0.03389066242048312,0.7381078125,0.6504854368932039,16,87,11,56,171838,7021,168323,5818,0.9795446874381685,0.828656886483407,IMG_5036_JPG.rf.5f4d679d95ae246f77e157e4236b9865.jpg
0.2857142857142857,1.0,0.44444444440987657,0.0304323312733983,0.91730625,0.3548387096774194,3,28,3,8,51807,4959,51807,1921,1.0,0.387376487194999,IMG_2027_JPG.rf.321c41f4f6f3c6250ac2dc5b37c50aee.jpg
0.6666666666666666,1.0,0.799999999952,0.07497710375646602,0.6928546875,0.7538461538461538,17,48,17,32,209461,12616,209461,11528,1.0,0.9137603043753963,IMG_4819_JPG.rf.d612ab0655dbffc1088b8780f1a6f495.jpg
0.7547169811320755,0.7307692307692307,0.7425500732279808,0.07402288017377427,0.947453125,0.7468354430379747,26,53,19,40,40087,7852,39733,7422,0.9911692069748298,0.9452368823229751,DSC04216_JPG.rf.2df278714e00c6aff0bd765d5fcb3739.jpg
0.46551724137931033,0.8333333333333334,0.5973451326973725,0.025408536210309775,0.8772046875,0.5285714285714286,12,58,10,27,89694,10562,84256,8587,0.9393716413583963,0.8130088998295777,DSC04208_JPG.rf.d4bf816afae65a9141db645a0ea7c60d.jpg
0.47368421052631576,0.5769230769230769,0.5202312138233152,0.0617666509925008,0.9356625,0.5060240963855421,26,57,15,27,43739,5317,35786,3808,0.8181714259585268,0.7161933421102126,DSC04213_JPG.rf.5b41d3987f7409ca4b4b3da9bc878f93.jpg
0.34615384615384615,1.0,0.5142857142475101,0.04601758883349866,0.9582703125,0.45161290322580644,5,26,5,9,20817,13422,20817,5561,1.0,0.4143197735061839,IMG_2143_JPG.rf.2e4f56955d58af1c8e4220db05ad16b1.jpg
0.6875,0.6363636363636364,0.6609442059586583,0.05942144106184458,0.836875,0.6701030927835051,33,64,21,44,109379,21732,79153,18814,0.7236581062178298,0.8657279587704767,DSC04080_JPG.rf.e9081627537d7feff052e59025c21d7b.jpg
0.5128205128205128,1.0,0.6779661016501005,0.05761835463911592,0.6881015625,0.6122448979591837,10,39,10,20,203222,9253,203222,3470,1.0,0.37501350913217335,IMG_4982_JPG.rf.47f4422b8bbbd76bd1f28861553b101f.jpg
0.477124183006536,0.9444444444444444,0.6339719028928235,0.23043537725136684,0.8940328125,0.5990338164251208,54,153,51,73,69990,29785,66998,23801,0.957251035862266,0.7990935034413296,DSC04353_JPG.rf.a1fd2b5667a796e26bcef54f13a0ffa3.jpg
0.5789473684210527,0.34615384615384615,0.4332603938262515,0.042533437591921915,0.8829421875,0.5060240963855421,26,57,9,33,74662,3185,72918,1487,0.9766413972301841,0.46687598116169543,DSC04375_JPG.rf.3b7f1ca7d6113e235cee348109400f19.jpg
0.5384615384615384,0.8636363636363636,0.6633416458379761,0.022493290885898794,0.781515625,0.5735294117647058,22,182,19,98,151739,24332,135032,20651,0.8898964669597137,0.8487177379582442,DSC04398_JPG.rf.590cbcdbf2df6ccd29109f441e04d4e1.jpg
0.6413043478260869,0.7948717948717948,0.7098777410722484,0.06197135393943652,0.852290625,0.6870229007633588,39,92,31,59,96690,30156,83260,29043,0.8611024925018099,0.963091922005571,DSC04079_JPG.rf.c059af5ffae5aa912482e4bed48fb28a.jpg
0.35294117647058826,0.6,0.4444444443978052,0.0974761517338103,0.917103125,0.4090909090909091,5,17,3,6,59601,7907,36355,7243,0.6099729870304189,0.9160237764006577,IMG_2048_JPG.rf.65590e51e702f847dce783b41d6e43aa.jpg
0.3673469387755102,0.9692307692307692,0.5327695559855092,0.18872756265309504,0.8635109375,0.6073619631901841,130,196,126,72,75894,99660,73948,89610,0.9743589743589743,0.899157134256472,DSC04346_JPG.rf.e3342a2084576fe1ae0ee75dea0c6405.jpg
0.6190476190476191,1.0,0.7647058823057094,0.006538572413017777,0.843721875,0.6521739130434783,2,21,2,13,104384,5494,104384,5221,1.0,0.950309428467419,IMG_4926_JPG.rf.e7f317b697f5dde456c6322241522c73.jpg
0.28125,1.0,0.4390243902096371,0.17296145858438922,0.96765625,0.4025974025974026,13,64,13,18,22980,6436,22980,4498,1.0,0.6988812927284027,IMG_4835_JPG.rf.330eee7fdb32cc15bc8e0abc05ae9a84.jpg
0.7777777777777778,1.0,0.8749999999507813,0.0331064879232541,0.9251625,0.8333333333333334,3,9,3,7,49785,2079,49785,2032,1.0,0.9773929773929774,DSC04284_JPG.rf.94fab104046990dc5674daf2ac2bc316.jpg
0.2786885245901639,0.8235294117647058,0.4164479439692164,0.19583945333476288,0.980828125,0.3974358974358974,17,61,14,17,12200,4658,8175,2417,0.6700819672131147,0.5188922284242165,IMG_2286_JPG.rf.4f049233414fefe7f04fae86a0b5a99c.jpg
0.55,0.6,0.5739130434283555,0.030677578003365277,0.9638953125,0.56,5,20,3,11,24998,3223,24416,2755,0.9767181374509961,0.8547936704933292,IMG_4605_JPG.rf.38d262bb04d4b7aa0aff5e1d7ce34c74.jpg
0.5,1.0,0.6666666666222222,0.003728757630754001,0.9208234375,0.5454545454545454,1,10,1,5,48488,3993,48488,904,1.0,0.2263961933383421,IMG_4842_JPG.rf.6be76cbfd58b16860efa7366ceffab7f.jpg
