pixel_accuracy,pixel_precision,pixel_recall,pixel_f1,pixel_iou,gt_pixels,pred_pixels,bbox_precision,bbox_recall,bbox_f1,gt_boxes,pred_boxes,matched_boxes,false_positives,false_negatives,filename
0.9539203125,0.0,0.0,0.0,0.0,2456,27035,0.0,0.0,0.0,3,21,0,21,3,DSC04167.JPG
0.940178125,0.48581059040991625,0.2366274759029764,0.3182449517432957,0.1892338316886197,37764,18394,0.45454545454545453,0.19230769230769232,0.27027027022848793,52,22,10,12,42,IMG_2165.JPG
0.945315625,0.16487240125657407,0.29177337747517024,0.21069012178619756,0.11774937608712092,16009,28331,0.022222222222222223,0.1111111111111111,0.037037037009259255,9,45,1,44,8,DSC04198.JPG
0.9423734375,0.024236667119012078,0.49012074643249176,0.04618925698916389,0.023640599354053052,1822,36845,0.0,0.0,0.0,5,21,0,21,5,IMG_2159.JPG
0.9170390625,0.05812751292360712,0.43765316419201383,0.10262477394493552,0.05408775899235716,6937,52230,0.05555555555555555,0.13043478260869565,0.07792207788018214,23,54,3,51,20,DSC04359.JPG
0.86103125,0.19654802634938467,0.3718840579710145,0.2571743560618715,0.14756172366201503,41400,78332,0.0,0.0,0.0,18,21,0,21,18,IMG_4919.JPG
0.9922390625,0.7311659893716786,0.5902839116719243,0.6532151085666411,0.4850181441161223,7925,6398,0.42105263157894735,0.4,0.4102564102064431,20,19,8,11,12,DSC04365.JPG
0.861221875,0.057053042877917653,0.1362376793293346,0.08042573457851035,0.04189769368514164,28509,68077,0.030303030303030304,0.034482758620689655,0.03225806446633715,29,33,1,32,28,IMG_4931.JPG
0.9975984375,0.01838235294117647,0.11013215859030837,0.0315059861373661,0.016005121638924456,227,1360,0.0,0.0,0.0,1,7,0,7,1,IMG_2398.JPG
0.990440625,0.46096256684491976,0.07129859387923904,0.12349570200573066,0.06581157428615056,6045,935,0.0,0.0,0.0,8,1,0,1,8,IMG_4925.JPG
0.996846875,0.14425116673737803,0.9970674486803519,0.2520385470719051,0.1441899915182358,341,2357,0.0,0.0,0.0,1,6,0,6,1,IMG_2401.JPG
0.9326640625,0.21457947568463112,0.7972914252607184,0.3381505997266291,0.20347848587904777,13808,51305,0.034482758620689655,0.10526315789473684,0.05194805191087872,19,58,2,56,17,IMG_4716.JPG
0.9800375,0.12222991689750692,0.9458735262593784,0.21648472954740586,0.12138092290764046,1866,14440,0.15,0.6,0.23999999996799998,5,20,3,17,2,IMG_4702.JPG
0.9369171875,0.13650442477876107,0.06065869244633787,0.0839931934203063,0.04383762788935203,30515,13560,0.0,0.0,0.0,29,26,0,26,29,IMG_4879.JPG
0.9517734375,0.1413625014861491,0.7063716025545819,0.23557966168858507,0.13351674573987254,6733,33644,0.07142857142857142,0.23809523809523808,0.10989010985460691,21,70,5,65,16,DSC04211.JPG
0.927246875,0.02061879797790676,0.157433881343817,0.03646221339293105,0.01856965200345678,5596,42728,0.0,0.0,0.0,6,36,0,36,6,IMG_4851.JPG
0.9587828125,0.21149519329106156,0.09972512899647973,0.13553989841061773,0.07269659366541287,20737,9778,0.0,0.0,0.0,19,11,0,11,19,IMG_4689.JPG
0.97970625,0.0776812440680441,0.7498238195912614,0.14077798359354327,0.07571875889553088,1419,13697,0.0,0.0,0.0,7,31,0,31,7,DSC04205.JPG
0.8362734375,9.543259595747523e-06,1.0,1.908633704562589e-05,9.543259595747523e-06,1,104786,0.0,0.0,0.0,0,34,0,34,0,IMG_4662.JPG
0.909725,0.0,0.0,0.0,0.0,0,57776,0.0,0.0,0.0,0,26,0,26,0,IMG_4676.JPG
0.9721078125,0.0,0.0,0.0,0.0,3080,14771,0.0,0.0,0.0,3,20,0,20,3,IMG_4886.JPG
0.9421640625,0.0557638646668992,0.07687684077658231,0.06464003234528592,0.03339948817047057,16637,22936,0.1,0.08,0.08888888883950617,25,20,2,18,23,IMG_4892.JPG
0.8999171875,0.00010927255697783329,1.0,0.00021852123558150063,0.00010927255697783329,7,64060,0.0,0.0,0.0,0,28,0,28,0,DSC03998.JPG
0.957615625,0.28583098591549294,0.851258389261745,0.4279628848587094,0.2722345934054141,11920,35500,0.02857142857142857,0.09090909090909091,0.043478260833175804,11,35,1,34,10,DSC04013.JPG
0.976734375,0.0,0.0,0.0,0.0,13904,986,0.0,0.0,0.0,15,4,0,4,15,DSC04007.JPG
0.9175421875,0.02174737400932843,0.49333333333333335,0.04165834347249714,0.02127225519287834,2325,52742,0.017543859649122806,0.16666666666666666,0.03174603172879818,6,57,1,56,5,IMG_5018.JPG
0.9474328125,0.11309879450321583,0.2767933941166351,0.16058284887347488,0.08730094137435229,11626,28453,0.07692307692307693,0.05714285714285714,0.0655737704428917,35,26,2,24,33,IMG_5024.JPG
0.99745625,0.0,0.0,0.0,0.0,2,1626,0.0,0.0,0.0,0,5,0,5,0,DSC03967.JPG
0.9816734375,0.0,0.0,0.0,0.0,0,11729,0.0,0.0,0.0,0,35,0,35,0,DSC03973.JPG
0.9938921875,0.7644178987564868,0.8385606874328679,0.7997746248015162,0.6663537043359509,9310,10213,0.5588235294117647,0.7037037037037037,0.6229508196227895,27,34,19,15,8,IMG_5030.JPG
0.91816875,0.01831728656465982,0.22128378378378377,0.03383389292698225,0.017208054195049637,4144,50062,0.0,0.0,0.0,5,55,0,55,5,IMG_2039.JPG
0.9934890625,0.7119164030294315,0.8646949231485794,0.7809033072190967,0.6405589579918917,8588,10431,0.5588235294117647,0.7037037037037037,0.6229508196227895,27,34,19,15,8,IMG_5031.JPG
0.97131875,0.0,0.0,0.0,0.0,0,18356,0.0,0.0,0.0,0,55,0,55,0,DSC03972.JPG
0.9265421875,0.09072799009747795,1.0,0.16636226615834737,0.09072799009747795,4691,51704,0.03278688524590164,0.2857142857142857,0.058823529393295854,7,61,2,59,5,IMG_2038.JPG
0.9528234375,3.32016335203692e-05,0.013157894736842105,6.62361318099023e-05,3.311916274756574e-05,76,30119,0.0,0.0,0.0,0,50,0,50,0,DSC03966.JPG
0.9499953125,0.1109587009713057,0.2717203812982297,0.15757192871620732,0.08552405989255915,11015,26974,0.08,0.07692307692307693,0.07843137249903882,26,25,2,23,24,IMG_5025.JPG
0.9611234375,0.06050552922590837,0.5836190476190476,0.10964394346036858,0.05800174156665278,2625,25320,0.03333333333333333,0.25,0.05882352939100346,8,60,2,58,6,IMG_2004.JPG
0.9221265625,0.0,0.0,0.0,0.0,863,48976,0.0,0.0,0.0,3,58,0,58,3,IMG_5019.JPG
0.9783453125,0.4928948436865611,0.7152220340231239,0.5836012378691825,0.4120317339103135,13579,19704,0.08571428571428572,0.2,0.11999999995800001,15,35,3,32,12,DSC04006.JPG
0.956553125,0.26546377220186074,0.8431232091690545,0.4037909001243621,0.2529686744398474,11168,35470,0.029411764705882353,0.07142857142857142,0.04166666662534722,14,34,1,33,13,DSC04012.JPG
0.9115046875,0.0,0.0,0.0,0.0,0,56637,0.0,0.0,0.0,0,22,0,22,0,DSC03999.JPG
0.9393703125,0.08330728352610191,0.12200286123032904,0.09900852160586993,0.05208256992793453,17475,25592,0.04,0.04,0.039999999950000004,25,25,1,24,24,IMG_4893.JPG
0.9733734375,0.12536473530637765,0.9041713641488163,0.22019859973459022,0.12372088239831336,2661,19192,0.0967741935483871,1.0,0.17647058821920417,3,31,3,28,0,IMG_4887.JPG
0.8774984375,0.0,0.0,0.0,0.0,0,78401,0.0,0.0,0.0,0,70,0,70,0,IMG_4677.JPG
0.863053125,0.47388478745144247,0.9758008466544512,0.6379551068628504,0.46838038164327395,79135,162951,0.14285714285714285,0.05263157894736842,0.0769230768837278,38,14,2,12,36,IMG_2560.JPG
0.9617625,0.2733936135059629,0.9697389451251998,0.42653606411398043,0.27108092812676854,9385,33289,0.11428571428571428,0.3076923076923077,0.16666666662717014,13,35,4,31,9,IMG_4688.JPG
0.9430265625,0.005496564647095565,0.03670490093847758,0.009561320114083933,0.004803624553071864,4795,32020,0.0,0.0,0.0,7,30,0,30,7,IMG_4850.JPG
0.986596875,0.13489550348321722,0.7698795180722892,0.22956709179091073,0.1296672077922078,1660,9474,0.1,0.2857142857142857,0.14814814810973936,7,20,2,18,5,DSC04204.JPG
0.9378796875,0.04316310920084505,0.08076058065835208,0.05625845657179481,0.028943383322749254,14673,27454,0.0,0.0,0.0,17,28,0,28,17,DSC04210.JPG
0.9425796875,0.0010555444612444012,0.020903954802259886,0.002009613556744426,0.0010058174305442287,1770,35053,0.0,0.0,0.0,3,18,0,18,3,IMG_4844.JPG
